ASV_ID,Cluster_ID
ASV1,0
ASV2,12
ASV3,22
ASV4,64
ASV5,21
ASV6,16
ASV7,-1
ASV8,148
ASV9,44
ASV10,-1
ASV11,7
ASV12,61
ASV13,464
ASV14,90
ASV15,-1
ASV16,278
ASV17,535
ASV18,441
ASV19,216
ASV20,147
ASV21,535
ASV22,177
ASV23,72
ASV24,7
ASV25,-1
ASV26,221
ASV27,-1
ASV28,62
ASV29,-1
ASV30,458
ASV31,142
ASV32,44
ASV33,530
ASV34,44
ASV35,133
ASV36,142
ASV37,63
ASV38,25
ASV39,-1
ASV40,84
ASV41,25
ASV42,-1
ASV43,108
ASV44,0
ASV45,7
ASV46,496
ASV47,7
ASV48,7
ASV49,25
ASV50,-1
ASV51,265
ASV52,661
ASV53,-1
ASV54,363
ASV55,413
ASV56,224
ASV57,64
ASV58,-1
ASV59,-1
ASV60,665
ASV61,-1
ASV62,25
ASV63,66
ASV64,-1
ASV65,-1
ASV66,71
ASV67,-1
ASV68,133
ASV69,27
ASV70,84
ASV71,-1
ASV72,-1
ASV73,519
ASV74,264
ASV75,-1
ASV76,487
ASV77,-1
ASV78,613
ASV79,526
ASV80,-1
ASV81,-1
ASV82,583
ASV83,25
ASV84,510
ASV85,45
ASV86,101
ASV87,248
ASV88,296
ASV89,-1
ASV90,-1
ASV91,31
ASV92,366
ASV93,-1
ASV94,278
ASV95,-1
ASV96,-1
ASV97,265
ASV98,-1
ASV99,574
ASV100,-1
ASV101,183
ASV102,-1
ASV103,-1
ASV104,-1
ASV105,-1
ASV106,263
ASV107,77
ASV108,262
ASV109,342
ASV110,-1
ASV111,-1
ASV112,262
ASV113,-1
ASV114,22
ASV115,-1
ASV116,247
ASV117,-1
ASV118,-1
ASV119,265
ASV120,-1
ASV121,-1
ASV122,-1
ASV123,-1
ASV124,417
ASV125,-1
ASV126,248
ASV127,423
ASV128,304
ASV129,319
ASV130,-1
ASV131,-1
ASV132,83
ASV133,83
ASV134,-1
ASV135,-1
ASV136,86
ASV137,478
ASV138,-1
ASV139,519
ASV140,-1
ASV141,-1
ASV142,490
ASV143,-1
ASV144,543
ASV145,390
ASV146,296
ASV147,-1
ASV148,-1
ASV149,229
ASV150,-1
ASV151,-1
ASV152,265
ASV153,27
ASV154,5
ASV155,-1
ASV156,-1
ASV157,-1
ASV158,307
ASV159,-1
ASV160,-1
ASV161,389
ASV162,-1
ASV163,110
ASV164,-1
ASV165,51
ASV166,-1
ASV167,302
ASV168,-1
ASV169,-1
ASV170,403
ASV171,78
ASV172,-1
ASV173,-1
ASV174,-1
ASV175,485
ASV176,-1
ASV177,145
ASV178,-1
ASV179,413
ASV180,-1
ASV181,64
ASV182,145
ASV183,167
ASV184,239
ASV185,-1
ASV186,183
ASV187,490
ASV188,-1
ASV189,21
ASV190,-1
ASV191,64
ASV192,216
ASV193,48
ASV194,-1
ASV195,10
ASV196,71
ASV197,-1
ASV198,-1
ASV199,265
ASV200,265
ASV201,343
ASV202,-1
ASV203,-1
ASV204,-1
ASV205,262
ASV206,-1
ASV207,-1
ASV208,-1
ASV209,295
ASV210,322
ASV211,303
ASV212,-1
ASV213,236
ASV214,-1
ASV215,-1
ASV216,344
ASV217,-1
ASV218,-1
ASV219,61
ASV220,416
ASV221,-1
ASV222,-1
ASV223,132
ASV224,-1
ASV225,443
ASV226,262
ASV227,374
ASV228,195
ASV229,27
ASV230,177
ASV231,66
ASV232,-1
ASV233,234
ASV234,-1
ASV235,-1
ASV236,51
ASV237,413
ASV238,-1
ASV239,-1
ASV240,7
ASV241,0
ASV242,-1
ASV243,14
ASV244,-1
ASV245,-1
ASV246,156
ASV247,525
ASV248,-1
ASV249,-1
ASV250,-1
ASV251,263
ASV252,14
ASV253,-1
ASV254,101
ASV255,212
ASV256,-1
ASV257,129
ASV258,7
ASV259,362
ASV260,-1
ASV261,-1
ASV262,196
ASV263,25
ASV264,544
ASV265,296
ASV266,91
ASV267,438
ASV268,-1
ASV269,71
ASV270,-1
ASV271,-1
ASV272,52
ASV273,139
ASV274,-1
ASV275,-1
ASV276,-1
ASV277,263
ASV278,216
ASV279,523
ASV280,-1
ASV281,-1
ASV282,-1
ASV283,129
ASV284,-1
ASV285,-1
ASV286,-1
ASV287,-1
ASV288,-1
ASV289,-1
ASV290,-1
ASV291,-1
ASV292,233
ASV293,53
ASV294,110
ASV295,-1
ASV296,0
ASV297,52
ASV298,519
ASV299,-1
ASV300,34
ASV301,349
ASV302,78
ASV303,63
ASV304,0
ASV305,0
ASV306,411
ASV307,180
ASV308,468
ASV309,-1
ASV310,-1
ASV311,-1
ASV312,-1
ASV313,-1
ASV314,263
ASV315,567
ASV316,-1
ASV317,106
ASV318,-1
ASV319,131
ASV320,-1
ASV321,-1
ASV322,-1
ASV323,535
ASV324,-1
ASV325,-1
ASV326,177
ASV327,-1
ASV328,-1
ASV329,43
ASV330,526
ASV331,347
ASV332,264
ASV333,294
ASV334,294
ASV335,309
ASV336,-1
ASV337,601
ASV338,-1
ASV339,-1
ASV340,337
ASV341,-1
ASV342,160
ASV343,340
ASV344,-1
ASV345,79
ASV346,364
ASV347,-1
ASV348,279
ASV349,450
ASV350,-1
ASV351,54
ASV352,-1
ASV353,-1
ASV354,-1
ASV355,390
ASV356,-1
ASV357,91
ASV358,-1
ASV359,538
ASV360,-1
ASV361,-1
ASV362,-1
ASV363,-1
ASV364,59
ASV365,-1
ASV366,-1
ASV367,32
ASV368,574
ASV369,19
ASV370,-1
ASV371,468
ASV372,-1
ASV373,485
ASV374,230
ASV375,-1
ASV376,468
ASV377,438
ASV378,-1
ASV379,-1
ASV380,500
ASV381,-1
ASV382,-1
ASV383,-1
ASV384,-1
ASV385,-1
ASV386,278
ASV387,665
ASV388,-1
ASV389,-1
ASV390,379
ASV391,471
ASV392,234
ASV393,221
ASV394,117
ASV395,599
ASV396,-1
ASV397,329
ASV398,453
ASV399,-1
ASV400,0
ASV401,-1
ASV402,0
ASV403,0
ASV404,-1
ASV405,216
ASV406,278
ASV407,448
ASV408,379
ASV409,652
ASV410,-1
ASV411,-1
ASV412,22
ASV413,548
ASV414,268
ASV415,-1
ASV416,-1
ASV417,-1
ASV418,-1
ASV419,-1
ASV420,231
ASV421,138
ASV422,0
ASV423,35
ASV424,-1
ASV425,-1
ASV426,285
ASV427,464
ASV428,484
ASV429,262
ASV430,-1
ASV431,-1
ASV432,303
ASV433,148
ASV434,319
ASV435,-1
ASV436,-1
ASV437,-1
ASV438,-1
ASV439,268
ASV440,294
ASV441,-1
ASV442,-1
ASV443,-1
ASV444,-1
ASV445,229
ASV446,-1
ASV447,-1
ASV448,-1
ASV449,-1
ASV450,449
ASV451,10
ASV452,-1
ASV453,-1
ASV454,-1
ASV455,265
ASV456,-1
ASV457,397
ASV458,78
ASV459,-1
ASV460,221
