ASV_ID,Cluster_ID,abundance,scientific_name,confidence_level
ASV1,-1,239,Unclustered,Noise
ASV2,6,196,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Stibarobdella;Stibarobdella_macrothela;,High
ASV3,0,74,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandona;Sandona_campae;,High
ASV4,7,65,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV5,11,43,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Euglenida_X;Lentomonadidae;Lentomonas;Lentomonas_corrugata;,High
ASV6,12,33,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV7,9,33,Unclustered,Noise
ASV8,10,27,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas_sp.;,High
ASV9,7,25,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV10,10,22,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas_sp.;,High
ASV11,7,22,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV12,11,20,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Euglenida_X;Lentomonadidae;Lentomonas;Lentomonas_corrugata;,High
ASV13,0,20,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandona;Sandona_campae;,High
ASV14,6,19,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Stibarobdella;Stibarobdella_macrothela;,High
ASV15,12,19,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV16,11,18,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Euglenida_X;Lentomonadidae;Lentomonas;Lentomonas_corrugata;,High
ASV17,7,18,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV18,12,17,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV19,3,17,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV20,7,16,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV21,12,15,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV22,11,14,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Euglenida_X;Lentomonadidae;Lentomonas;Lentomonas_corrugata;,High
ASV23,-1,14,Unclustered,Noise
ASV24,10,13,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas_sp.;,High
ASV25,3,13,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV26,7,13,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV27,12,12,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV28,12,12,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV29,7,12,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV30,12,12,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV31,12,12,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV32,-1,12,Unclustered,Noise
ASV33,9,11,Unclustered,Noise
ASV34,2,10,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV35,12,10,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV36,4,9,Unclustered,Noise
ASV37,6,9,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Stibarobdella;Stibarobdella_macrothela;,High
ASV38,0,9,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandona;Sandona_campae;,High
ASV39,11,9,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Euglenida_X;Lentomonadidae;Lentomonas;Lentomonas_corrugata;,High
ASV40,1,9,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,High
ASV40,1,9,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,High
ASV41,12,8,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV42,9,8,Unclustered,Noise
ASV43,12,8,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV44,12,8,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV45,10,8,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas_sp.;,High
ASV46,8,7,Unclustered,Noise
ASV47,-1,7,Unclustered,Noise
ASV48,4,7,Unclustered,Noise
ASV49,11,7,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenida;Euglenida_X;Lentomonadidae;Lentomonas;Lentomonas_corrugata;,High
ASV50,4,7,Unclustered,Noise
ASV51,7,7,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV52,-1,7,Unclustered,Noise
ASV53,-1,6,Unclustered,Noise
ASV54,12,6,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV55,6,6,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Stibarobdella;Stibarobdella_macrothela;,High
ASV56,7,6,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV57,-1,6,Unclustered,Noise
ASV58,2,6,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV59,-1,6,Unclustered,Noise
ASV60,12,6,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV61,1,6,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,High
ASV61,1,6,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,High
ASV62,5,5,Unclustered,Noise
ASV63,-1,5,Unclustered,Noise
ASV64,3,5,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV65,12,5,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV66,12,5,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV67,3,5,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV68,0,5,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandona;Sandona_campae;,High
ASV69,7,5,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV70,7,5,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV71,2,5,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV72,12,5,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV73,4,4,Unclustered,Noise
ASV74,6,4,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Stibarobdella;Stibarobdella_macrothela;,High
ASV75,2,4,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_forceps;,High
ASV76,6,4,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Stibarobdella;Stibarobdella_macrothela;,High
ASV77,12,4,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
ASV78,12,4,Eukaryota;Excavata;Discoba;Euglenozoa;Euglenophyceae;Euglenales;Euglenaceae;Euglena;Euglena_agilis;,High
