ASV_ID,Cluster_ID,abundance,scientific_name,confidence_level
ASV1,0,308958,Tubulinea_555369;Echinamoebida_2681631;order_family_Vermamoeba_1260114;family_Vermamoeba_1260114;Vermamoeba_1260114;Vermamoeba,High
ASV2,12,129131,Arthropoda_6656;Insecta_50557;Orthoptera_6993;Gryllotalpidae_208677;Gryllotalpa_208679;Gryllotalpa,High
ASV3,22,94876,phylum_Chrysophyceae_2825;Chrysophyceae_2825;Chromulinales_96792;Chromulinaceae_98651;Pedospumella_1117029;Pedospumella,High
ASV4,64,89307,Haptophyta_2830;class_Isochrysidales_73020;Isochrysidales_73020;Noelaerhabdaceae_418966;Emiliania_2902;Emiliania,High
ASV5,21,84220,Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Vespidae_7438;Zethus_427986;Zethus,High
ASV6,16,83479,Rhodophyta_2763;Florideophyceae_2806;Ceramiales_2802;Rhodomelaceae_2803;Laurencia_99900;Laurencia,High
ASV7,-1,71201,Unclustered,Noise
ASV8,148,68471,Rhodophyta_2763;Florideophyceae_2806;Gigartinales_28017;Mychodeaceae_50886;Mychodea_42022;Mychodea,High
ASV9,44,60707,Oomycota_4762;class_Peronosporales_4776;Peronosporales_4776;Peronosporaceae_4777;Phytophthora_4783;Phytophthora,High
ASV10,-1,52767,Unclustered,Noise
ASV11,7,52473,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Spinocalanidae_201680;Spinocalanus_201681;Spinocalanus,Potentially Novel
ASV12,61,46704,Arthropoda_6656;Hexanauplia_72037;Calanoida_6833;Euchaetidae_117959;Euchaeta_117960;Euchaeta,High
ASV13,464,46168,Discosea_555280;Flabellinia_1485085;Dactylopodida_555392;Paramoebidae_200887;Korotnevella_200888;Korotnevella,High
ASV14,90,45751,Oomycota_4762;class_Peronosporales_4776;Peronosporales_4776;Peronosporaceae_4777;Phytophthora_4783;Phytophthora,High
ASV15,-1,43447,Unclustered,Noise
ASV16,278,39790,Discosea_555280;class_Himatismenida_313555;Himatismenida_313555;family_Parvamoeba_1076757;Parvamoeba_1076757;Parvamoeba,High
ASV17,535,39117,Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Megachilidae_124286;Pseudoanthidium_1004237;Pseudoanthidium,Potentially Novel
ASV18,441,37432,Cnidaria_6073;Hydrozoa_6074;Siphonophorae_42759;Agalmatidae_168757;Marrus_338245;Marrus,High
ASV19,216,36712,phylum_Phaeophyceae_2870;Phaeophyceae_2870;Ectocarpales_2877;Chordariaceae_66220;Hecatonema_86887;Hecatonema,Potentially Novel
ASV20,147,34350,Discosea_555280;class_Himatismenida_313555;Himatismenida_313555;family_Parvamoeba_1076757;Parvamoeba_1076757;Parvamoeba,High
